American Restaurant,4bf58dd8d48988d14e941735
Asian Restaurant,4bf58dd8d48988d142941735
Bakery,4bf58dd8d48988d16a941735
Cafe,4bf58dd8d48988d16d941735
Coffee Shop,4bf58dd8d48988d1e0931735
Dessert Shop,4bf58dd8d48988d1d0941735
Fast Food Restaurant,4bf58dd8d48988d16e941735
French Restaurant,4bf58dd8d48988d10c941735
Italian Restaurant,4bf58dd8d48988d110941735
Kebab Restaurant,5283c7b4e4b094cb91ec88d7
Middle Eastern Restaurant,4bf58dd8d48988d115941735
Pizza Place,4bf58dd8d48988d1ca941735
Polish Restaurant,52e81612bcbc57f1066b7a04
Vegetarian Restaurant,4bf58dd8d48988d1d3941735
Bar,4bf58dd8d48988d116941735
